Широта;Долгота;Описание;Подпись;"Номер метки"
55.634852;37.59657;"Школа № 1158";"Школа № 1158";146
55.9950649;37.2029646;"Школа № 1353 имени генерала Д.Ф. Алексеева";"Школа № 1353 имени генерала Д.Ф. Алексеева";147
55.63818;37.609146;"Школа № 1179";"Школа № 1179";148
55.8897955;37.6508317;"Школа № 1506";"Школа № 1506";149
55.6289012;37.5224569;"Школа № 1273";"Школа № 1273";150
55.7497115;37.5890203;"Школа № 1231 имени В.Д. Поленова";"Школа № 1231 имени В.Д. Поленова";151
55.8301828;37.3606112;"Школа № 1564 имени Героя Советского Союза А.П. Белобородова";"Школа № 1564 имени Героя Советского Союза А.П. Белобородова";152
55.657362;37.511984;"Школа № 46";"Школа № 46";153
55.6942029;37.5069658;"Школа № 1498 Московская Международная Школа";"Школа № 1498 Московская Международная Школа";154
55.7431385;37.5387786;"Школа № 1232 На Кутузовском";"Школа № 1232 На Кутузовском";155
55.699615;37.5580205;"Школа № 1265";"Школа № 1265";156
55.86625;37.489704;"Школа № 597 Новое поколение";"Школа № 597 Новое поколение";157
55.6712859;37.5232608;"Школа № 1311";"Школа № 1311";158
55.8712564;37.4907343;"Школа № 1474";"Школа № 1474";159
55.825376;37.709883;"Кадетская школа-интернат № 5 Преображенский кадетский корпус";"Кадетская школа-интернат № 5 Преображенский кадетский корпус";160
55.758499;37.797038;"Школа № 423";"Школа № 423";161
55.8073029;37.8063656;"Школа № 2200";"Школа № 2200";162
55.6710321;37.4571707;"Школа № 843";"Школа № 843";163
55.6914725;37.8512861;"Школа № 1460";"Школа № 1460";164
55.7221629;37.5794577;"Школа № 171";"Школа № 171";165
55.8459946;37.481095;"Школа № 1315";"Школа № 1315";166
55.9849501;37.1922567;"Школа № 853";"Школа № 853";167
55.700714;37.7445845;"Школа № 654 имени А.Д. Фридмана";"Школа № 654 имени А.Д. Фридмана";168
55.8396451;37.3814188;"Школа № 1538";"Школа № 1538";169
55.4743196;37.3008098;"Гимназия имени Н.В.Пушкова";"Гимназия имени Н.В.Пушкова";170
55.8564662;37.3469145;"Школа № 1358";"Школа № 1358";171
55.7805348;37.4773356;"Школа № 1515";"Школа № 1515";172
55.7377023;37.8633014;"Школа № 2127";"Школа № 2127";173
55.8414913;37.3611617;"Школа № 1900";"Школа № 1900";174
55.7898619;37.7408256;"Школа № 1362 с углубленным изучением английского языка";"Школа № 1362 с углубленным изучением английского языка";175
55.6342523;37.3810283;"Школа № 1436";"Школа № 1436";176
55.8555751;37.5015797;"Школа № 648 имени Героя Российской Федерации А.Г. Карлова";"Школа № 648 имени Героя Российской Федерации А.Г. Карлова";177
55.5994352;37.5937859;"Школа № 1245";"Школа № 1245";178
55.7932125;37.6846957;"Школа № 1530 Школа Ломоносова";"Школа № 1530 Школа Ломоносова";179
55.6960362;37.7504031;"Кадетская школа-интернат № 9 Московский пансион государственных воспитанниц, СП 1-го МКК";"Кадетская школа-интернат № 9 Московский пансион государственных воспитанниц, СП 1-го МКК";180
55.7015733;37.8454056;"Школа № 1359 имени авиаконструктора М.Л. Миля";"Школа № 1359 имени авиаконструктора М.Л. Миля";181
55.8549391;37.413297;"Школа № 827";"Школа № 827";182
55.7045383;37.756902;"Школа № 641 имени Сергея Есенина";"Школа № 641 имени Сергея Есенина";183
55.8083723;37.7118243;"Школа № 1797 Богородская";"Школа № 1797 Богородская";184
55.8117105;37.7151194;"Школа № 1294 с углубленным изучением немецкого языка (СП СОШ №1797 «Богородская»)";"Школа № 1294 с углубленным изучением немецкого языка (СП СОШ №1797 «Богородская»)";185
55.6646859;37.5591213;"Школа № 1948 Лингвист-М";"Школа № 1948 Лингвист-М";186
55.8081364;37.7795705;"Школа № 2033";"Школа № 2033";187
55.8681156;37.6540906;"Школа № 1558 имени Росалии де Кастро";"Школа № 1558 имени Росалии де Кастро";188
55.6397811;37.6974856;"Лицей № 1828 Сабурово";"Лицей № 1828 Сабурово";189
55.7215588;37.4288985;"Школа № 587";"Школа № 587";190
55.6457952;37.4984122;"Школа № 1995";"Школа № 1995";191
55.7722521;37.6260899;"Школа № 2054";"Школа № 2054";192
55.6005531;37.6555231;"Школа № 508";"Школа № 508";193
55.6170618;37.7387382;"Школа № 1569 Созвездие";"Школа № 1569 Созвездие";194
55.8644191;37.6135062;"Школа № 1554";"Школа № 1554";195
55.9809974;37.1536695;"Школа № 1739";"Школа № 1739";196
55.6905586;37.500361;"Школа № 1434 Раменки";"Школа № 1434 Раменки";197
55.5703791;37.5846396;"Школа № 1945 Синяя птица";"Школа № 1945 Синяя птица";198
55.8066415;37.6891662;"АНО Школа «Академическая гимназия»";"АНО Школа «Академическая гимназия»";199
55.5481586;37.5638992;"Школа № 1354 Вектор";"Школа № 1354 Вектор";200
55.649845;37.525001;"Школа № 170 имени А.П.Чехова";"Школа № 170 имени А.П.Чехова";201
55.7942204;37.5068501;"Школа № 1251 имени генерала Шарля де Голля";"Школа № 1251 имени генерала Шарля де Голля";202
55.6196298;37.7465581;"Школа № 1552";"Школа № 1552";203
55.7151006;37.6067307;"Киноколледж № 40 Московская международная киношкола";"Киноколледж № 40 Московская международная киношкола";204
55.6824616;37.9265008;"Школа с углубленным изучением отдельных предметов № 1366 (СП СОШ № 2089)";"Школа с углубленным изучением отдельных предметов № 1366 (СП СОШ № 2089)";205
55.609701;37.595968;"Школа с углубленным изучением отдельных предметов № 879";"Школа с углубленным изучением отдельных предметов № 879";206
55.8029908;37.463076;"Школа № 1874";"Школа № 1874";207
55.8949529;37.5701931;"Многопрофильная школа № 1449 имени Героя Советского Союза М.В. Водопьянова";"Многопрофильная школа № 1449 имени Героя Советского Союза М.В. Водопьянова";208
55.7558568;37.4128372;"Школа № 63";"Школа № 63";209
55.764427;37.4914516;"Образовательный центр Протон";"Образовательный центр Протон";210
55.7448804;37.4930387;"Школа № 1497 (ОЦ Протон)";"Школа № 1497 (ОЦ Протон)";211
55.7473679;37.4986214;"Школа № 72 (ОЦ Протон)";"Школа № 72 (ОЦ Протон)";212
55.7601571;37.5635698;"Школа № 1241 На Красной Пресне";"Школа № 1241 На Красной Пресне";213
55.7105444;37.8870864;"Школа № 2036";"Школа № 2036";214
55.7031141;37.5039133;"Школа № 37";"Школа № 37";215
55.837803;37.484406;"Школа № 224";"Школа № 224";216
