Широта;Долгота;Описание;Подпись;"Номер метки"
55.9005369;37.5779387;"Школа № 1430 имени Героя Социалистического Труда Г.В. Кисунько";"Школа № 1430 имени Героя Социалистического Труда Г.В. Кисунько";148
55.604103;37.6215083;"Школа № 1526 на Покровской";"Школа № 1526 на Покровской";149
55.7974049;37.5743658;"Школа № 1164";"Школа № 1164";150
55.7451104;37.4288597;"Школа № 1584";"Школа № 1584";151
55.6801984;37.7271019;"Школа имени дважды Героя Советского Союза И.С. Полбина";"Школа имени дважды Героя Советского Союза И.С. Полбина";152
55.7015733;37.8454056;"Школа № 1359 имени авиаконструктора М.Л. Миля";"Школа № 1359 имени авиаконструктора М.Л. Миля";153
55.8910361;37.6016312;"Школа № 1412";"Школа № 1412";154
55.7497115;37.5890203;"Школа № 1231 имени В.Д. Поленова";"Школа № 1231 имени В.Д. Поленова";155
55.8009597;37.5181245;"Школа № 1249";"Школа № 1249";156
55.8459946;37.481095;"Школа № 1315";"Школа № 1315";157
55.6457952;37.4984122;"Школа № 1995";"Школа № 1995";158
55.7369838;37.4142432;"Школа № 64";"Школа № 64";159
55.8549391;37.413297;"Школа № 827";"Школа № 827";160
55.7436236;37.6463979;"Школа № 2104 на Таганке";"Школа № 2104 на Таганке";161
55.6692134;37.5340915;"Школа № 117";"Школа № 117";162
55.8301828;37.3606112;"Школа № 1564 имени Героя Советского Союза А.П. Белобородова";"Школа № 1564 имени Героя Советского Союза А.П. Белобородова";163
55.8228863;37.5293973;"Школа № 1576";"Школа № 1576";164
55.6906491;37.5796612;"Школа № 45 имени Л.И. Мильграма";"Школа № 45 имени Л.И. Мильграма";165
55.7188764;37.6073141;"Образовательный комплекс градостроительства Столица";"Образовательный комплекс градостроительства Столица";166
55.6440752;37.4821216;"Школа № 51";"Школа № 51";167
55.6398451;37.7661115;"Школа № 998";"Школа № 998";168
55.7008263;37.8149766;"Школа № 1420";"Школа № 1420";169
55.7031141;37.5039133;"Школа № 37";"Школа № 37";170
